Carrier,Plans available,Internet Categories,Carrier_ID
Xfinity,128,"All, Fiber, Cable",1
T-Mobile,4,Mobile Broadband,2
Spectrum,15,Cable,3
EarthLink,18,"All, Fiber, Mobile Broadband",4
AT&T,6,"All, Fiber, Mobile Broadband",5
Verizon,8,Mobile Broadband,6
Frontier,4,Fiber,7
Verizon Fios,6,Fiber,8
NOW,12,Mobile Broadband,9
Viasat,1,Satellite,10
Quantum,4,Fiber,11
Optimum,30,"All, Fiber, Cable",12
Cox,25,"All, Fiber, Cable",13
Metro by T-Mobile (MetroPCS),1,Mobile Broadband,14
Mediacom,12,Cable,15
WOW!,8,Cable,16
HughesNet,2,Satellite,17
Astound Broadband- Pacific Northwest,20,Fiber,18
Astound Broadband,168,"All, Fiber, Cable",19
Ziply,4,Fiber,20
Astound Broadband- Texas,8,Fiber,21
Windstream,30,"All, Fiber, Cable",22
Breezeline,4,Cable,23
Google Fiber,2,Fiber,24
Starlink,2,Satellite,25
Mercury Broadband,3,Fixed Wireless,26
CenturyLink,11,VDSL,27
Starry,5,Fixed Wireless,28
Wyyerd,5,Fiber,29
Armstrong,3,Cable,30
Rise Broadband,1,Fiber,31
Fidelity Communications,6,Cable,32
Brightspeed,4,Fiber,33
Ting,1,Fiber,34
Utah Broadband,3,Fiber,35
TDS,1,Cable,36
Sparklight,4,Cable,37
MCTV,4,Cable,38
Sonic,0,Fiber,39
